alert_id,city_id,alert_type,severity_level,alert_message,alert_date,status
265,2,Water Contamination,High,Water contamination detected. Boil water before consumption.,2025-04-07,Active
266,15,Disease Outbreak,Low,Increase in COVID-19 cases reported. Take preventive measures.,2024-06-29,Active
267,14,Water Contamination,High,Water contamination detected. Boil water before consumption.,2024-01-05,Resolved
268,14,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-01-29,Resolved
269,10,Water Contamination,Low,Water contamination detected. Boil water before consumption.,2023-11-30,Resolved
270,6,Disease Outbreak,Medium,Increase in H1N1 Influenza cases reported. Take preventive measures.,2024-09-03,Under Investigation
271,20,Water Contamination,Medium,Water contamination detected. Boil water before consumption.,2023-10-01,Active
272,10,Disease Outbreak,Low,Increase in Dengue cases reported. Take preventive measures.,2024-12-01,Resolved
273,4,Air Pollution Alert,Critical,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-07-28,Resolved
274,3,Disease Outbreak,Medium,Increase in Typhoid cases reported. Take preventive measures.,2023-01-18,Resolved
275,5,Disease Outbreak,Critical,Increase in Diarrheal Disease cases reported. Take preventive measures.,2025-03-30,Active
276,17,Environmental Hazard,Medium,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2025-08-05,Resolved
277,16,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2023-12-31,Resolved
278,13,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-05-05,Active
279,7,Water Contamination,Critical,Water contamination detected. Boil water before consumption.,2024-10-08,Resolved
280,3,Disease Outbreak,Low,Increase in Japanese Encephalitis cases reported. Take preventive measures.,2025-02-02,Resolved
281,5,Water Contamination,Critical,Water contamination detected. Boil water before consumption.,2024-11-08,Active
282,5,Air Pollution Alert,Low,Air quality deteriorated. Use masks and avoid outdoor exercise.,2024-07-18,Resolved
283,6,Disease Outbreak,Low,Increase in Measles cases reported. Take preventive measures.,2023-05-30,Resolved
284,9,Water Contamination,Critical,Water contamination detected. Boil water before consumption.,2024-07-26,Resolved
285,9,Environmental Hazard,Critical,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2025-04-04,Under Investigation
286,5,Water Contamination,Low,Water contamination detected. Boil water before consumption.,2024-09-16,Resolved
287,6,Disease Outbreak,High,Increase in Measles cases reported. Take preventive measures.,2025-07-11,Under Investigation
288,1,Environmental Hazard,Critical,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-12-24,Active
289,13,Water Contamination,Low,Water contamination detected. Boil water before consumption.,2023-02-14,Active
290,6,Disease Outbreak,Critical,Increase in Cholera cases reported. Take preventive measures.,2023-09-26,Resolved
291,10,Air Pollution Alert,High,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-06-26,Resolved
292,13,Water Contamination,Low,Water contamination detected. Boil water before consumption.,2024-12-10,Resolved
293,1,Disease Outbreak,High,Increase in H1N1 Influenza cases reported. Take preventive measures.,2023-09-21,Resolved
294,9,Disease Outbreak,Low,Increase in COVID-19 cases reported. Take preventive measures.,2023-07-29,Resolved
295,12,Environmental Hazard,Medium,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-03-17,Resolved
296,16,Air Pollution Alert,Critical,Air quality deteriorated. Use masks and avoid outdoor exercise.,2024-06-27,Resolved
297,20,Environmental Hazard,Low,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-09-30,Resolved
298,2,Environmental Hazard,Medium,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-03-02,Under Investigation
299,1,Disease Outbreak,Low,Increase in Cholera cases reported. Take preventive measures.,2025-06-24,Resolved
300,7,Air Pollution Alert,Low,Air quality deteriorated. Use masks and avoid outdoor exercise.,2024-07-23,Under Investigation
